0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,0,0,0,1,0,0,7,3,6,6,3,0,58233366.26314193,232921563.01950356,0.0,3084.382470650249,0.006401888903513392
1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,3,0,0,0,0,5,0,0,1,0,7,2,1,2,5,0,4285502.930435535,178604277.80602753,515700000.0,226.82138930758194,0.00047225610712904766
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,2,2,0,3,7,3,2,4,1,5,17098919.39659889,337841355.6290928,0.0,0.0,0.030671777416701886
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,2,0,0,0,4,0,0,3,3,1,4,6,7,0,0,19471157.44781095,217005958.2612318,151900000.0,952.2589575440009,0.002955329299957523
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,3,0,0,6,0,1,2,7,0,0,0,134620171.84427944,181141804.2913365,61400000.0,0.0,0.1254319126189288
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,2,0,6,6,4,6,2,3,1,43298830.7668132,262966239.8528539,0.0,2290.2052578629723,0.004781772907600528
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,2,1,4,4,0,0,4,52218866.142281875,168458927.8904556,121200000.0,0.0,0.09204685871051388
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,6,0,7,2,0,2,5,3,12520922.122155149,202959001.4113558,363800000.0,585.8632760117167,0.0021808269422813505
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,3,3,2,6,1,7,2,4,1,1002527.300093278,258191505.71658486,205800000.0,52.450363249201956,0.0001568872745849067
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,2,0,0,0,1,0,0,2,3,1,3,1,5,3,0,16034755.997100752,218421890.05051282,92100000.0,889.4057252725357,0.0016229004775173994
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,1,3,0,5,0,4,1,3,3,6,0,16885106.560040567,255597777.00878546,61400000.0,395.45216477094647,0.008010626098861403
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,1,5,1,3,6,3,7,6,0,1,0.0,364140483.4477062,0.0,0.0,0.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,2,7,2,0,3,205012056.3802536,154337849.30053794,30700000.0,0.0,0.14376688009660077
1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,3,0,7,3,0,2,4,0,12520922.122155149,155248396.68782842,448400000.0,585.8632760117167,0.0021808269422813505
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,5,2,3,2,1,0,0,0,41717818.07328664,171710223.30320737,151900000.0,0.0,0.044978675926800056
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,7,7,2,2,4,2,4,0,0,13261156.543906007,253121625.14996254,30700000.0,559.8736187061907,0.0018810538673700947
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,3,0,2,2,4,1,2,3,5,13092553.31365626,294275308.7888651,61400000.0,0.0,0.012234543933477945
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,3,5,4,3,6,0,0,0,88762762.61081704,146248676.50593802,151900000.0,1405.404652258966,0.02800500118533624
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,7,1,7,1,3,0,94855919.9222233,202279119.35687733,0.0,0.0,0.11635534124863312
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,1,0,6,2,6,4,0,1,33639293.46430907,186209802.7290281,30700000.0,1780.4232944471505,0.0037071643600813183
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,7,2,0,5,184680223.61877468,157884580.72059965,61400000.0,0.0,0.1254981900877855
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,6,0,0,0,3,0,1,3,2,7,3,1,2,3,3,4364184.437885419,308985789.83174884,146000000.0,229.7568138283605,0.0004893817573391177
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,3,0,3,0,2,6,6,5,7,2,0,11213097.821436355,312842306.20684206,30700000.0,0.0,0.01029767877800366
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,3,0,6,1,0,3,0,5,20053868.850707024,217699747.23971146,248500000.0,0.0,0.018657918188537414
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,2,1,3,5,3,6,5,0,1,17098919.39659889,264607435.35433716,0.0,717.7516871418904,0.0036806132900042265
1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,4,4,1,2,3,2,4364184.437885419,215498722.61190605,363800000.0,0.0,0.004078181311159315
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,3,2,4,6,3,7,2,1,4,545007.2239672532,298546481.20732415,151900000.0,0.0,0.0004891943752659994
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,6,0,6,2,7,0,0,1,79585457.39158523,171894308.3259762,115300000.0,0.0,0.07133896455354041
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,5,5,5,1,7,3,0,0,75409239.8080149,222597057.22201467,0.0,0.0,0.0591601349631978
0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,3,0,0,0,3,0,0,3,0,3,5,3,7,5,0,2,0.0,207833539.12511718,400400000.0,0.0,0.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,3,3,6,7,0,0,50261524.12190668,136817631.19975233,30700000.0,2494.813487009408,0.007207088564302683
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,2,2,0,0,3,0,1,29406028.682195716,198011798.40542674,61400000.0,0.0,0.04042529701584849
0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7,0,6,3,0,1,5,0,21125712.380542785,158361853.7351923,400400000.0,0.0,0.026030270410314603
0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,5,0,2,4,0,22000471.881180886,166064936.0302417,279200000.0,0.0,0.02477664113269597
